"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,181,"POL","Poland",1,"Lódz","Województwo","Voivodeship|Province",NA,"Lódzkie"
2,181,"POL","Poland",2,"Swietokrzyskie","Województwo","Voivodeship|Province",NA,"Swietokrzyskie"
3,181,"POL","Poland",3,"Greater Poland","Województwo","Voivodeship|Province",NA,"Wielkopolskie"
4,181,"POL","Poland",4,"Kuyavian-Pomeranian","Województwo","Voivodeship|Province",NA,"Kujawsko-Pomorskie"
5,181,"POL","Poland",5,"Lesser Poland","Województwo","Voivodeship|Province",NA,"Malopolskie"
6,181,"POL","Poland",6,"Lower Silesian","Województwo","Voivodeship|Province",NA,"Dolnoslaskie"
7,181,"POL","Poland",7,"Lublin","Województwo","Voivodeship|Province",NA,"Lubelskie"
8,181,"POL","Poland",8,"Lubusz","Województwo","Voivodeship|Province",NA,"Lubuskie"
9,181,"POL","Poland",9,"Masovian","Województwo","Voivodeship|Province",NA,"Mazowieckie"
10,181,"POL","Poland",10,"Opole","Województwo","Voivodeship|Province",NA,"Opolskie"
11,181,"POL","Poland",11,"Podlachian","Województwo","Voivodeship|Province",NA,"Podlaskie"
12,181,"POL","Poland",12,"Pomeranian","Województwo","Voivodeship|Province",NA,"Pomorskie"
13,181,"POL","Poland",13,"Silesian","Województwo","Voivodeship|Province",NA,"Slaskie"
14,181,"POL","Poland",14,"Subcarpathian","Województwo","Voivodeship|Province",NA,"Podkarpackie"
15,181,"POL","Poland",15,"Warmian-Masurian","Województwo","Voivodeship|Province",NA,"Warminsko-Mazurskie"
16,181,"POL","Poland",16,"West Pomeranian","Województwo","Voivodeship|Province",NA,"Zachodniopomorskie"
